Blocks,Age,Faults,Time,Result,Output
12,1,0,453,0.099,0
4,0,20,154,0.002,0
13,0,0,506,0.039,0
7,8,3,251,0.542,0
12,6,0,533,0.885,1
13,4,0,610,0.434,0
13,5,0,465,0.759,0
12,3,0,569,0.285,0
12,2,0,453,0.199,0
4,1,20,154,0.005,0
13,1,0,506,0.096,0
7,9,3,251,0.668,0
13,0,0,557,0.036,0
13,5,0,610,0.617,0
13,6,0,465,1.025,1
12,4,0,569,0.436,0
12,3,0,453,0.34,0
4,2,20,154,0.011,0
13,2,0,506,0.191,0
7,10,3,251,0.808,0
13,1,0,557,0.088,0
13,6,0,610,0.833,1
14,0,0,504,0.04,0
12,5,0,569,0.62,0
12,4,0,453,0.52,0
4,3,20,154,0.02,0
13,3,0,506,0.326,0
7,11,3,251,0.961,1
13,2,0,557,0.178,0
14,0,0,667,0.032,0
14,1,0,504,0.1,0
12,6,0,569,0.839,0
12,5,0,453,0.741,0
4,4,20,154,0.031,0
13,4,0,506,0.499,0
8,0,3,294,0.01,0
13,3,0,557,0.303,0
14,1,0,667,0.081,0
14,2,0,504,0.2,0
12,7,0,569,1.092,1
12,6,0,453,1.002,0
4,5,20,154,0.045,0
13,5,0,506,0.711,0
8,1,3,294,0.029,0
13,4,0,557,0.464,0
14,2,0,667,0.162,0
14,3,0,504,0.34,0
13,0,0,599,0.033,0
12,7,0,453,1.304,1
4,6,20,154,0.061,0
13,6,0,506,0.962,1
8,2,3,294,0.062,0
13,5,0,557,0.661,0
14,3,0,667,0.276,0
14,4,0,504,0.52,0
13,1,0,599,0.083,0
13,0,0,491,0.038,0
4,7,20,154,0.079,0
14,0,0,541,0.038,0
8,3,3,294,0.107,0
13,6,0,557,0.894,1
14,4,0,667,0.422,0
14,5,0,504,0.74,0
13,2,0,599,0.168,0
13,1,0,491,0.097,0
4,8,20,154,0.1,0
14,1,0,541,0.095,0
8,4,3,294,0.165,0
14,0,0,588,0.036,0
14,5,0,667,0.6,0
14,6,0,504,1,1
13,3,0,599,0.287,0
13,2,0,491,0.196,0
4,9,20,154,0.123,0
14,2,0,541,0.189,0
8,5,3,294,0.236,0
14,1,0,588,0.088,0
14,6,0,667,0.81,1
15,0,0,532,0.04,0
13,4,0,599,0.438,0
13,3,0,491,0.332,0
4,10,20,154,0.149,0
14,3,0,541,0.322,0
8,6,3,294,0.32,0
14,2,0,588,0.177,0
15,0,0,735,0.031,0
15,1,0,532,0.099,0
13,5,0,599,0.624,1
13,4,0,491,0.509,0
4,11,20,154,0.178,0
14,4,0,541,0.493,0
8,7,3,294,0.416,0
14,3,0,588,0.302,0
15,1,0,735,0.078,0
15,2,0,532,0.198,0
14,0,0,629,0.033,0
13,5,0,491,0.726,1
4,12,20,154,0.208,0
14,5,0,541,0.702,1
8,8,3,294,0.526,0
14,4,0,588,0.463,0
15,2,0,735,0.156,0
15,3,0,532,0.337,0
14,1,0,629,0.084,0
14,0,0,544,0.037,0
4,13,20,154,0.242,0
15,0,0,590,0.037,0
8,9,3,294,0.649,0
14,5,0,588,0.66,1
15,3,0,735,0.266,0
15,4,0,532,0.515,0
